,Date to Expired,Date,S50H22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2022-03-30,1022.9,1025,1022.9,1022.9,2045.8,,,0.0,1019.64,1026.1,1017.18,1022.83,0.12391570137966637
1,1,2022-03-29,1015.7,1025,0.8,10.5,11.3,0.1,0.4,0.5,1014.63,1018.53,1012.59,1016.8,0.12383077001553335
2,2,2022-03-28,1014.9,1025,1.2,11.2,12.399999999999999,0.2,1.1,1.3,1010.49,1015.65,1008.71,1012.43,0.1238686891435885
3,3,2022-03-25,1009.9,1000,12.9,3.2,16.1,1.1,0.6,1.7000000000000002,1013.95,1014.35,1006.35,1008.81,0.12395765532453058
4,4,2022-03-24,1012.2,1000,14.9,2.9,17.8,1.3,0.6,1.9,1007.67,1014.29,1006.35,1012.34,0.1239386011090233
5,5,2022-03-23,1006.8,1000,11.3,5.0,16.3,1.1,1.2,2.3,1016.13,1017.42,1007.85,1008.61,0.1247682052754514
6,6,2022-03-22,1012.2,1000,15.6,3.7,19.3,2.9,1.3,4.2,1009.95,1014.46,1008.5,1012.53,0.12473817504219246
7,7,2022-03-21,1011.7,1000,16.1,4.8,20.900000000000002,3.1,1.6,4.7,1018.09,1019.31,1007.97,1010.88,0.1247307327139824
8,8,2022-03-18,1015.8,1025,5.9,14.9,20.8,0.9,4.9,5.800000000000001,1021.54,1023.14,1015.02,1015.02,0.12474492679939032
9,9,2022-03-17,1018.1,1025,7.0,13.6,20.6,1.4,4.5,5.9,1018.02,1023.85,1016.81,1019.17,0.12519429515295882
10,10,2022-03-16,1009.3,1000,17.0,7.6,24.6,4.3,3.0,7.3,1005.67,1012.9,1002.14,1011.95,0.1291517337818236
11,11,2022-03-15,995.4,1000,10.2,14.7,24.9,2.6,6.7,9.3,1004.58,1008.78,994.33,998.72,0.1285069636085915
12,12,2022-03-14,1007.0,1000,16.5,10.0,26.5,5.2,4.3,9.5,1003.31,1008.61,1000.12,1008.36,0.12815665750642563
13,13,2022-03-11,1002.7,1000,14.5,11.7,26.2,4.0,5.0,9.0,995.43,1006.81,992.16,1005.31,0.1281664634903054
14,14,2022-03-10,994.4,1000,11.0,16.5,27.5,3.0,7.9,10.9,1000.33,1004.53,995.48,998.41,0.12821025303241462
15,15,2022-03-09,989.1,1000,9.8,20.3,30.1,3.0,10.3,13.3,986.57,995.07,975.27,994.96,0.12945334361907754
16,16,2022-03-08,978.4,975,18.5,15.0,33.5,7.9,7.7,15.600000000000001,981.04,987.76,958.08,982.97,0.12986046967442813
17,17,2022-03-07,984.0,975,24.5,15.1,39.6,10.1,8.8,18.9,998.92,999.46,976.93,983.58,0.13012421965414958
18,18,2022-03-04,1007.9,1000,19.6,12.0,31.6,7.0,6.0,13.0,1020.34,1021.07,1009.68,1009.68,0.127485050729005
19,19,2022-03-03,1023.3,1025,13.1,14.7,27.799999999999997,4.4,7.0,11.4,1031.04,1034.67,1022.74,1026.15,0.12670410901036752
20,20,2022-03-02,1019.8,1025,12.4,17.3,29.700000000000003,4.2,8.7,12.899999999999999,1022.11,1026.04,1017.94,1023.36,0.12668100547846609
21,21,2022-03-01,1017.3,1025,11.4,18.9,30.299999999999997,3.8,9.3,13.100000000000001,1022.53,1026.64,1018.87,1021.67,0.12688859779171874
22,22,2022-02-28,1008.2,1000,20.8,12.5,33.3,8.4,6.8,15.2,1011.95,1020.54,1005.4,1016.58,0.12707861133886145
23,23,2022-02-25,1008.4,1000,20.9,12.5,33.4,8.0,6.9,14.9,1012.45,1016.23,1007.12,1012.52,0.12702476528269274
24,24,2022-02-24,1001.5,1000,18.5,17.3,35.8,7.9,10.0,17.9,1014.88,1017.46,1000.02,1004.86,0.1268153193502043
25,25,2022-02-23,1016.8,1025,11.9,20.0,31.9,4.5,10.1,14.6,1017.27,1024.37,1013.61,1021.68,0.12661431132517967
26,26,2022-02-22,1009.9,1000,24.1,13.7,37.8,10.3,7.9,18.200000000000003,1009.06,1016.98,1005.39,1016.55,0.12695910597508608
27,27,2022-02-21,1014.9,1025,11.9,21.9,33.8,4.9,11.6,16.5,1034.06,1034.2,1017.46,1019.7,0.1269140082689058
28,28,2022-02-18,1031.9,1025,20.3,13.6,33.9,8.8,7.3,16.1,1033.14,1039.55,1029.61,1035.89,0.12597073210023502
29,29,2022-02-17,1029.2,1025,19.5,15.0,34.5,8.3,7.5,15.8,1034.82,1041.37,1033.83,1035.94,0.12607539188251068
30,30,2022-02-15,1024.3,1025,17.1,17.5,34.6,8.1,9.4,17.5,1023.12,1031.08,1020.02,1029.7,0.12611004202969
31,31,2022-02-14,1014.1,1025,12.7,23.6,36.3,5.6,12.9,18.5,1024.47,1026.31,1017.25,1021.09,0.12586009514609944
32,32,2022-02-11,1021.1,1025,15.9,19.5,35.4,7.9,10.5,18.4,1023.33,1029.84,1020.51,1028.14,0.1275358949640234
33,33,2022-02-10,1023.8,1025,17.7,18.7,36.4,8.7,10.2,18.9,1030.77,1031.72,1024.1,1029.88,0.12845593814820724
34,34,2022-02-09,1022.4,1025,17.7,19.9,37.599999999999994,9.0,10.5,19.5,1015.1,1031.47,1014.16,1029.8,0.1287856570125302
35,35,2022-02-08,1005.0,1000,20.5,15.7,36.2,9.3,8.8,18.1,1007.91,1012.07,1004.87,1011.5,0.12758869433362094
36,36,2022-02-07,996.4,1000,16.6,19.8,36.400000000000006,7.4,10.9,18.3,1006.52,1009.21,998.74,1006.16,0.12813113277653104
37,37,2022-02-04,995.7,1000,16.5,21.0,37.5,7.4,11.8,19.200000000000003,1002.29,1007.48,1001.5,1003.29,0.1281132534906992
38,38,2022-02-03,990.7,1000,14.4,23.7,38.1,6.5,13.4,19.9,996.7,1002.89,996.7,1000.18,0.12820871685743973
39,39,2022-02-02,990.8,1000,15.2,24.5,39.7,7.2,13.7,20.9,1000.57,1002.07,995.05,999.78,0.12850759398053033
40,40,2022-02-01,988.4,1000,14.6,26.6,41.2,6.6,15.1,21.7,1000.29,1001.47,998.06,998.15,0.12880174620465998
41,41,2022-01-31,986.6,975,27.8,16.0,43.8,13.8,9.0,22.8,995.91,1000.29,993.17,993.29,0.12948788851939672
42,42,2022-01-28,981.4,975,25.2,18.7,43.9,12.1,11.4,23.5,990.11,994.21,987.79,990.46,0.12982165285737593
43,43,2022-01-27,979.0,975,24.4,20.4,44.8,12.4,12.4,24.8,984.41,988.6,977.24,988.36,0.12991403592099085
44,44,2022-01-26,985.1,975,27.9,17.5,45.4,14.0,11.0,25.0,989.7,995.43,988.07,992.13,0.1298574049479567
45,45,2022-01-25,978.6,975,23.8,20.2,44.0,11.8,12.6,24.4,981.75,985.84,975.62,985.44,0.12971321614809708
46,46,2022-01-24,976.9,975,22.9,21.1,44.0,11.2,13.1,24.299999999999997,985.41,989.48,981.81,985.15,0.13172582922612416
47,47,2022-01-21,980.2,975,25.0,19.6,44.6,12.8,11.9,24.700000000000003,985.8,989.43,980.71,987.06,0.13263894213569266
48,48,2022-01-20,982.4,975,25.6,18.0,43.6,12.9,11.0,23.9,992.1,994.56,989.66,990.44,0.13338466601493476
49,49,2022-01-19,983.9,975,27.3,18.5,45.8,13.8,11.2,25.0,987.06,993.94,985.12,989.16,0.1370276269924489
50,50,2022-01-18,980.3,975,24.9,19.7,44.599999999999994,12.6,11.8,24.4,998.76,1000.87,987.06,987.6,0.1378289576075514
51,51,2022-01-17,990.4,1000,16.7,26.5,43.2,8.5,16.0,24.5,995.84,999.19,993.6,996.67,0.13833130526996806
52,52,2022-01-14,986.5,975,28.7,17.4,46.099999999999994,15.6,10.7,26.299999999999997,994.58,997.64,989.86,993.89,0.1397158655310213
53,53,2022-01-13,990.4,1000,17.2,26.8,44.0,8.9,16.3,25.200000000000003,999.53,1001.51,994.06,996.96,0.14040495228095828
54,54,2022-01-12,990.2,1000,17.5,27.0,44.5,9.3,16.6,25.900000000000002,998.06,1000.2,993.85,998.37,0.14066900226651677
55,55,2022-01-11,984.2,975,29.3,19.6,48.900000000000006,16.1,12.5,28.6,986.44,992.59,986.14,991.82,0.14161830339731002
56,56,2022-01-10,978.0,975,25.6,22.5,48.1,14.2,14.3,28.5,987.7,990.32,982.39,985.79,0.1421779557547727
57,57,2022-01-07,977.3,975,25.8,23.5,49.3,14.9,15.0,29.9,988.09,990.41,981.31,985.96,0.14299109720402917
58,58,2022-01-06,979.1,975,27.4,23.2,50.599999999999994,15.3,15.2,30.5,992.83,994.69,983.14,983.71,0.15525898101487481
59,59,2022-01-05,996.3,1000,22.0,25.8,47.8,12.3,15.7,28.0,1000.1,1004.26,998.04,1002.61,0.15407349710951918
60,60,2022-01-04,993.5,1000,21.1,27.4,48.5,12.1,16.9,29.0,995.8,1002.71,995.17,999.46,0.1540613922772162
61,61,2021-12-30,986.8,975,31.0,19.6,50.6,17.9,12.7,30.599999999999998,991.81,993.53,986.45,990.75,0.15382949050606534
62,62,2021-12-29,983.0,975,29.5,21.9,51.4,16.9,14.6,31.5,983.23,990.57,981.58,989.3,0.15383013891537128
63,63,2021-12-28,975.4,975,26.1,25.6,51.7,15.5,17.4,32.9,978.5,986.04,978.32,982.48,0.15409853509225083
64,64,2021-12-27,968.3,975,23.8,30.8,54.6,14.1,20.0,34.1,977.89,978.5,972.06,975.51,0.15396253617655295
65,65,2021-12-24,970.4,975,25.8,30.9,56.7,15.7,20.2,35.9,977.15,978.57,972.61,975.13,0.1548285345024924
66,66,2021-12-23,970.1,975,25.7,31.2,56.9,15.8,20.9,36.7,970.02,979.77,969.75,975.92,0.1551195343001326
67,67,2021-12-22,958.8,950,34.0,25.5,59.5,20.8,17.2,38.0,966.86,969.3,963.48,965.38,0.15543444939522152
68,68,2021-12-21,955.7,950,33.0,27.0,60.0,19.6,18.4,38.0,964.38,968.32,960.83,962.82,0.155434517549044
69,69,2021-12-20,951.6,950,30.8,30.4,61.2,19.5,21.1,40.6,969.43,971.87,956.3,959.26,0.1558441543783451
70,70,2021-12-17,970.6,975,26.8,31.0,57.8,15.1,19.7,34.8,978.82,980.9,974.57,977.86,0.15694774920926147
71,71,2021-12-16,973.2,975,27.9,30.0,57.9,15.8,19.5,35.3,968.68,980.62,963.72,980.51,0.15692240523497883
72,72,2021-12-15,957.9,950,35.2,27.0,62.2,22.2,18.8,41.0,967.99,970.64,962.62,964.12,0.15633270147312545
73,73,2021-12-14,961.0,950,37.9,25.8,63.7,23.2,18.5,41.7,962.36,971.36,959.5,971.13,0.15664695869050702
74,74,2021-12-13,959.8,950,36.3,26.2,62.5,22.2,18.0,40.2,967.89,969.77,960.96,966.81,0.1574349089981093
75,75,2021-12-09,957.6,950,35.0,27.8,62.8,22.0,18.5,40.5,966.18,967.51,958.05,962.24,0.15936302956895707
76,76,2021-12-08,957.3,950,35.3,28.5,63.8,23.2,19.5,42.7,963.35,966.39,957.97,964.44,0.16016509951707514
77,77,2021-12-07,951.0,950,32.0,32.1,64.1,21.0,21.6,42.6,952.43,959.75,948.48,957.96,0.16003869499878606
78,78,2021-12-03,937.4,925,40.6,28.3,68.9,27.5,20.5,48.0,948.38,951.21,943.69,943.76,0.15990733517931785
79,79,2021-12-02,942.3,950,31.4,40.2,71.6,20.4,28.5,48.9,942.9,948.4,939.68,947.84,0.1598543899367439
80,80,2021-12-01,940.3,950,31.3,41.9,73.2,20.7,31.5,52.2,940.99,949.07,931.04,947.82,0.15988108574280321
81,81,2021-11-30,925.0,925,38.4,39.7,78.1,25.8,30.0,55.8,955.91,963.18,933.35,935.08,0.15952595102204747
82,82,2021-11-29,941.9,950,37.0,45.0,82.0,23.5,33.8,57.3,961.15,966.7,947.16,948.28,0.1593002403221308
83,83,2021-11-26,956.4,950,38.1,32.1,70.2,23.8,23.3,47.1,980.33,981.54,959.97,961.93,0.15864331259511158
84,84,2021-11-25,982.4,975,30.9,23.5,54.4,18.5,15.8,34.3,992.69,993.69,984.49,987.6,0.16983855409657977
85,85,2021-11-24,983.2,975,31.3,23.5,54.8,19.9,15.8,35.7,989.7,994.89,987.45,989.19,0.17168851154579243
86,86,2021-11-23,981.3,975,31.3,26.0,57.3,19.5,17.2,36.7,991.08,992.04,984.91,987.26,0.17170718496286635
87,87,2021-11-22,982.3,975,32.0,26.7,58.7,20.5,16.7,37.2,987.02,992.11,984.81,989.18,0.17704725282488462
88,88,2021-11-19,978.1,975,30.8,27.4,58.2,20.4,18.5,38.9,990.63,992.86,982.23,984.39,0.17701896826783722
89,89,2021-11-18,981.9,975,33.0,25.7,58.7,20.6,16.0,36.6,985.22,992.05,984.13,989.18,0.17793146126056836
90,90,2021-11-17,980.0,975,32.4,27.6,60.0,20.0,17.2,37.2,987.92,991.63,984.92,986.52,0.17799646970230337
91,91,2021-11-16,982.1,975,34.0,26.0,60.0,20.2,17.0,37.2,986.13,990.01,983.13,986.51,0.17815651876414562
92,92,2021-11-15,979.2,975,32.2,29.5,61.7,19.3,18.6,37.900000000000006,981.27,986.79,980.98,984.06,0.17831092538071397
93,93,2021-11-12,976.1,975,31.9,31.3,63.2,20.5,20.9,41.4,982.83,985.04,978.86,979.59,0.17833542769371294
94,94,2021-11-11,975.0,975,30.8,31.8,62.6,19.6,21.8,41.400000000000006,978.04,981.93,975.93,979.88,0.17833062466058727
95,95,2021-11-10,973.3,975,29.5,30.9,60.4,15.9,20.5,36.4,977.1,981.85,975.13,979.27,0.17848258400397154
96,96,2021-11-09,975.2,975,30.5,23.3,53.8,18.4,20.7,39.099999999999994,980.38,983.65,977.14,980.53,0.17851662031783883
97,97,2021-11-08,974.0,975,23.3,23.9,47.2,17.5,21.5,39.0,983.65,986.82,976.63,980.22,0.1785790015955227
98,98,2021-11-05,974.6,975,23.8,31.5,55.3,18.0,21.7,39.7,980.78,982.59,975.83,980.03,0.17858195638741356
