,Date to Expired,Date,S50M21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2021-06-29,955.21,950,955.21,955.21,1910.42,,,0.0,951.36,961.14,950.5,957.39,0.19720832190351376
1,1,2021-06-28,951.0,950,4.1,3.4,7.5,0.2,0.3,0.5,949.09,953.05,943.86,950.26,0.19859897394992124
2,2,2021-06-25,954.4,950,8.9,4.1,13.0,0.6,0.9,1.5,959.99,962.24,951.46,954.78,0.19854341229418843
3,3,2021-06-24,955.4,950,9.6,4.6,14.2,1.5,1.0,2.5,955.45,957.11,946.69,956.14,0.1994994751909345
4,4,2021-06-23,958.4,950,13.2,4.5,17.7,2.0,1.0,3.0,966.2,967.21,957.89,959.0,0.2016606649185379
5,5,2021-06-22,960.7,950,15.0,4.9,19.9,2.8,1.3,4.1,968.74,970.42,961.52,961.99,0.20254146236415674
6,6,2021-06-21,960.3,950,15.4,5.3,20.7,4.0,1.5,5.5,961.21,964.32,956.76,962.99,0.20262001766377494
7,7,2021-06-18,970.7,975,7.0,10.9,17.9,1.2,2.9,4.1,974.78,976.97,965.61,971.19,0.20257572759858525
8,8,2021-06-17,972.0,975,8.0,11.3,19.3,1.9,3.6,5.5,976.33,982.99,972.72,973.93,0.20268645616625877
9,9,2021-06-16,978.3,975,12.4,8.7,21.1,3.3,2.6,5.9,979.55,985.12,976.41,980.13,0.20269771154725577
10,10,2021-06-15,979.5,975,13.1,8.4,21.5,3.7,3.3,7.0,988.2,989.5,976.81,979.39,0.20302139546729037
11,11,2021-06-14,987.6,1000,5.7,18.0,23.7,2.5,5.2,7.7,993.95,995.06,984.94,988.38,0.20310682892288495
12,12,2021-06-11,989.9,1000,7.7,17.8,25.5,3.0,6.4,9.4,985.97,990.79,983.89,990.78,0.2037719160999381
13,13,2021-06-10,980.9,975,14.7,9.0,23.7,5.0,3.9,8.9,985.82,989.23,980.02,981.6,0.20358520653663778
14,14,2021-06-09,978.2,975,14.1,10.3,24.4,5.0,4.6,9.6,976.13,983.58,975.98,982.05,0.2037510378107649
15,15,2021-06-08,969.6,975,11.1,15.8,26.9,4.1,7.0,11.1,973.86,977.28,967.19,973.13,0.2044136195034933
16,16,2021-06-07,970.7,975,12.9,17.4,30.299999999999997,4.9,7.8,12.7,976.48,981.93,971.75,972.97,0.2044651914221099
17,17,2021-06-04,969.9,975,13.0,18.0,31.0,5.5,8.9,14.4,974.25,980.59,972.19,972.32,0.20447823557938483
18,18,2021-06-02,978.4,975,17.6,14.8,32.400000000000006,7.7,7.6,15.3,984.63,986.37,975.07,978.28,0.2048214481502381
19,19,2021-06-01,981.1,975,20.5,14.3,34.8,9.7,7.8,17.5,968.66,982.49,964.72,981.19,0.20489578223905866
20,20,2021-05-31,961.3,950,23.8,12.4,36.2,10.4,6.8,17.2,956.03,963.49,952.25,962.58,0.20424010151212488
21,21,2021-05-28,957.1,950,21.5,14.5,36.0,10.1,7.5,17.6,962.07,965.22,954.83,956.19,0.2049665124361225
22,22,2021-05-27,952.8,950,20.0,16.8,36.8,9.4,9.3,18.700000000000003,948.71,961.21,946.73,957.1,0.20505748732817336
23,23,2021-05-25,944.7,950,17.4,22.5,39.9,8.0,13.1,21.1,942.82,949.91,940.3,948.06,0.2055599496095804
24,24,2021-05-24,934.4,925,26.3,17.1,43.400000000000006,14.4,11.5,25.9,938.47,941.96,933.25,934.83,0.20607434567269126
25,25,2021-05-21,937.9,950,15.6,27.6,43.2,7.6,17.0,24.6,941.28,941.77,931.84,937.53,0.20684544758728277
26,26,2021-05-20,935.9,925,29.0,18.5,47.5,15.2,12.1,27.299999999999997,945.18,947.36,937.83,938.31,0.20687138769145885
27,27,2021-05-19,941.1,950,17.7,26.9,44.599999999999994,9.2,17.4,26.599999999999998,943.94,949.25,941.38,943.47,0.20689253309219283
28,28,2021-05-18,947.2,950,21.1,23.9,45.0,11.3,16.0,27.3,946.09,951.89,944.88,948.87,0.20692253877797465
29,29,2021-05-17,935.0,925,33.0,23.7,56.7,19.5,16.0,35.5,934.61,942.97,927.06,938.99,0.20719810417832127
30,30,2021-05-14,935.2,925,33.5,23.4,56.9,19.4,15.6,35.0,941.96,944.15,928.1,938.68,0.20727996140460922
31,31,2021-05-13,930.5,925,30.6,24.8,55.400000000000006,17.6,17.7,35.3,940.79,944.41,912.03,938.33,0.2073942479605743
32,32,2021-05-12,949.5,950,22.0,22.6,44.6,12.0,14.1,26.1,955.02,956.92,942.52,952.55,0.2073968760464241
33,33,2021-05-11,956.2,950,26.5,20.3,46.8,14.3,13.4,27.700000000000003,952.2,962.01,948.27,956.97,0.20890420353613465
34,34,2021-05-10,957.7,950,26.9,19.4,46.3,15.2,12.0,27.2,965.46,965.58,950.64,959.45,0.21238783225382038
35,35,2021-05-07,954.5,950,24.6,20.3,44.900000000000006,13.9,13.0,26.9,953.17,958.56,949.03,955.8,0.2149989853783983
36,36,2021-05-06,939.8,950,17.7,28.2,45.9,9.3,17.8,27.1,932.35,949.14,930.77,945.55,0.2157563644374697
37,37,2021-05-05,919.2,925,21.2,27.0,48.2,12.6,17.1,29.700000000000003,953.45,954.62,928.03,929.63,0.21557903068960454
38,38,2021-04-30,955.5,950,23.7,18.3,42.0,12.8,10.4,23.200000000000003,964.17,965.24,955.45,955.97,0.21373497978904313
39,39,2021-04-29,962.5,950,28.5,16.0,44.5,15.5,8.9,24.4,959.61,966.44,958.73,964.55,0.21402242205762612
40,40,2021-04-28,949.0,950,20.9,22.2,43.099999999999994,11.2,12.9,24.1,946.51,955.32,944.21,954.24,0.21378571010382397
41,41,2021-04-27,938.8,950,16.1,27.5,43.6,8.6,17.0,25.6,945.76,949.44,938.95,943.34,0.2139165615312226
42,42,2021-04-26,940.0,950,17.3,27.7,45.0,9.5,16.5,26.0,941.86,946.06,935.96,943.92,0.2261240239945042
43,43,2021-04-23,937.9,950,16.8,28.5,45.3,9.2,17.6,26.8,949.54,949.78,940.29,942.63,0.2261348929894439
44,44,2021-04-22,949.1,950,22.3,23.0,45.3,11.6,14.3,25.9,964.88,966.02,949.77,952.58,0.2286046429960954
45,45,2021-04-21,956.9,950,26.2,19.3,45.5,14.8,11.9,26.700000000000003,959.98,965.65,958.89,961.89,0.22950777678063267
46,46,2021-04-20,959.0,950,27.7,19.0,46.7,15.6,11.7,27.299999999999997,958.88,965.01,956.46,963.94,0.23219512343448062
47,47,2021-04-19,954.9,950,26.0,21.2,47.2,15.3,13.9,29.200000000000003,949.65,961.54,947.0,960.33,0.232656837477608
48,48,2021-04-16,942.8,950,22.0,28.5,50.5,12.4,18.9,31.299999999999997,945.53,947.07,937.1,946.5,0.23227535905031657
49,49,2021-04-12,939.3,950,20.6,31.2,51.8,12.1,20.8,32.9,952.53,953.0,938.94,941.08,0.2325047541202301
50,50,2021-04-09,950.6,950,25.4,25.0,50.4,14.1,16.0,30.1,952.33,960.11,951.97,955.9,0.2375727873816104
51,51,2021-04-08,945.0,950,23.4,28.9,52.3,13.6,18.1,31.700000000000003,948.51,954.24,947.4,950.04,0.2379891139821051
52,52,2021-04-07,945.5,950,24.1,28.8,52.900000000000006,13.7,18.5,32.2,956.32,960.28,949.45,950.22,0.26106493154387805
53,53,2021-04-05,961.8,950,32.2,20.5,52.7,18.2,12.8,31.0,977.68,979.38,961.79,964.71,0.2749129467536323
54,54,2021-04-02,971.7,975,23.1,26.8,49.900000000000006,13.7,16.8,30.5,980.78,983.18,975.17,976.13,0.2746155248939578
55,55,2021-04-01,969.0,975,23.8,29.6,53.400000000000006,14.0,19.6,33.6,975.6,980.06,971.42,975.66,0.27492834082455414
