,Date to Expired,Date,S50U21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2021-09-29,970.27,975,970.27,970.27,1940.54,,,0.0,964.19,976.19,963.42,971.85,0.18623015948215801
1,1,2021-09-28,968.8,975,1.2,7.2,8.4,0.1,0.5,0.6,977.85,980.18,971.04,972.95,0.1864226249844724
2,2,2021-09-27,971.8,975,3.4,6.4,9.8,0.4,0.6,1.0,985.52,987.63,972.88,976.02,0.18639694505070567
3,3,2021-09-23,980.3,975,9.5,4.0,13.5,1.3,0.5,1.8,979.53,985.23,973.38,981.73,0.18629805380066428
4,4,2021-09-22,966.4,975,3.9,12.5,16.4,0.4,2.5,2.9,966.67,973.35,964.01,969.44,0.18647952101677565
5,5,2021-09-21,965.5,975,4.0,13.7,17.7,0.5,3.3,3.8,961.87,969.94,953.4,967.39,0.1865166039735847
6,6,2021-09-20,957.3,950,13.6,6.0,19.6,2.0,2.2,4.2,968.06,970.93,958.15,960.58,0.18651384134145346
7,7,2021-09-17,970.5,975,5.7,10.3,16.0,1.2,2.7,3.9000000000000004,978.56,980.7,969.39,974.71,0.1859297488005963
8,8,2021-09-16,976.2,975,9.6,8.1,17.7,2.4,2.4,4.8,979.77,981.37,975.17,978.53,0.18637331095533446
9,9,2021-09-15,974.9,975,10.7,10.6,21.299999999999997,3.0,3.2,6.2,974.63,978.9,971.53,975.79,0.18641268057682814
10,10,2021-09-14,973.3,975,10.6,12.2,22.799999999999997,2.8,4.0,6.8,985.46,985.46,972.94,974.58,0.18642041381071767
11,11,2021-09-13,979.3,975,14.8,10.0,24.8,4.0,3.7,7.7,983.44,990.15,977.93,981.52,0.18628305999022376
12,12,2021-09-10,983.9,975,17.8,9.0,26.8,5.5,3.4,8.9,984.41,989.09,975.61,985.29,0.18623557143119257
13,13,2021-09-09,977.3,975,14.5,11.6,26.1,4.0,4.5,8.5,989.26,995.88,980.6,981.86,0.1867290405336882
14,14,2021-09-08,990.5,1000,7.5,16.8,24.3,2.0,6.8,8.8,988.07,993.74,982.58,992.35,0.18638960861819623
15,15,2021-09-07,986.9,975,20.3,8.1,28.4,6.9,3.2,10.100000000000001,1001.47,1005.63,989.87,991.33,0.1868303038135172
