,Date to Expired,Date,S50Z21,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2021-12-29,987.3,975.0,987.3,987.3,1974.6,,,0.0,983.23,990.57,981.58,989.3,0.15383013891537128
1,1,2021-12-28,982.6,975.0,8.5,0.9,9.4,0.4,0.2,0.6000000000000001,978.5,986.04,978.32,982.48,0.15409853509225083
2,2,2021-12-27,974.6,975.0,3.5,4.0,7.5,0.3,0.4,0.7,977.89,978.5,972.06,975.51,0.15396253617655295
3,3,2021-12-24,976.0,975.0,5.2,4.2,9.4,0.5,0.5,1.0,977.15,978.57,972.61,975.13,0.1548285345024924
4,4,2021-12-23,974.3,975.0,6.8,7.4,14.2,0.7,1.1,1.8,970.02,979.77,969.75,975.92,0.1551195343001326
5,5,2021-12-22,963.9,975.0,3.3,14.3,17.6,0.4,2.7,3.1,966.86,969.3,963.48,965.38,0.15543444939522152
6,6,2021-12-21,962.4,950.0,16.1,3.8,19.900000000000002,3.1,1.3,4.4,964.38,968.32,960.83,962.82,0.155434517549044
7,7,2021-12-20,957.9,950.0,13.1,5.7,18.8,3.0,2.0,5.0,969.43,971.87,956.3,959.26,0.1558441543783451
8,8,2021-12-17,975.6,975.0,9.2,8.8,18.0,1.8,2.3,4.1,978.82,980.9,974.57,977.86,0.15694774920926147
9,9,2021-12-16,978.4,975.0,10.3,6.9,17.200000000000003,2.0,1.5,3.5,968.68,980.62,963.72,980.51,0.15692240523497883
10,10,2021-12-15,963.3,975.0,4.1,15.7,19.799999999999997,0.9,4.1,5.0,967.99,970.64,962.62,964.12,0.15633270147312545
11,11,2021-12-14,966.2,975.0,4.8,13.1,17.9,1.0,2.9,3.9,962.36,971.36,959.5,971.13,0.15664695869050702
12,12,2021-12-13,964.9,975.0,3.8,14.5,18.3,0.8,3.3,4.1,967.89,969.77,960.96,966.81,0.1574349089981093
13,13,2021-12-09,962.8,975.0,5.0,17.0,22.0,0.9,5.4,6.300000000000001,966.18,967.51,958.05,962.24,0.15936302956895707
14,14,2021-12-08,962.5,950.0,17.6,5.9,23.5,5.1,2.3,7.3999999999999995,963.35,966.39,957.97,964.44,0.16016509951707514
15,15,2021-12-07,956.0,950.0,14.2,8.1,22.299999999999997,3.9,3.1,7.0,952.43,959.75,948.48,957.96,0.16003869499878606
16,16,2021-12-03,942.3,950.0,10.6,18.1,28.700000000000003,3.6,8.5,12.1,948.38,951.21,943.69,943.76,0.15990733517931785
17,17,2021-12-02,947.4,950.0,15.2,17.7,32.9,6.2,9.0,15.2,942.9,948.4,939.68,947.84,0.1598543899367439
18,18,2021-12-01,945.5,950.0,16.0,20.3,36.3,6.8,11.3,18.1,940.99,949.07,931.04,947.82,0.15988108574280321
19,19,2021-11-30,929.3,925.0,22.0,18.4,40.4,11.0,10.9,21.9,955.91,963.18,933.35,935.08,0.15952595102204747
20,20,2021-11-29,946.5,950.0,17.5,20.4,37.9,8.2,12.8,21.0,961.15,966.7,947.16,948.28,0.1593002403221308
21,21,2021-11-26,961.1,950.0,24.5,13.7,38.2,11.5,7.7,19.2,980.33,981.54,959.97,961.93,0.15864331259511158
22,22,2021-11-25,987.4,975.0,20.2,7.8,28.0,6.8,3.0,9.8,992.69,993.69,984.49,987.6,0.16983855409657977
23,23,2021-11-24,988.3,1000.0,7.3,19.0,26.3,2.0,7.6,9.6,989.7,994.89,987.45,989.19,0.17168851154579243
24,24,2021-11-23,986.3,975.0,19.5,8.7,28.2,7.2,3.9,11.1,991.08,992.04,984.91,987.26,0.17170718496286635
25,25,2021-11-22,987.3,975.0,20.9,8.8,29.7,8.0,4.0,12.0,987.02,992.11,984.81,989.18,0.17704725282488462
26,26,2021-11-19,982.8,975.0,18.4,11.1,29.5,7.2,5.1,12.3,990.63,992.86,982.23,984.39,0.17701896826783722
27,27,2021-11-18,986.6,975.0,21.3,9.6,30.9,8.6,4.5,13.1,985.22,992.05,984.13,989.18,0.17793146126056836
28,28,2021-11-17,984.2,975.0,20.6,11.0,31.6,8.5,5.1,13.6,987.92,991.63,984.92,986.52,0.17799646970230337
29,29,2021-11-16,986.5,975.0,22.4,10.7,33.099999999999994,9.9,5.0,14.9,986.13,990.01,983.13,986.51,0.17815651876414562
